left: Array<T>::toString():
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 

, right: Array<T>::toString():
216.847824 220.652176 0.036882 
219.565216 211.413040 0.020990 
195.108688 221.195648 0.009729 
176.086960 215.760864 0.009486 
174.456528 226.630432 0.007934 
228.260864 217.934784 0.007671 
223.913040 221.195648 0.008570 
228.260864 219.021744 0.006562 
223.369568 230.978256 0.002768 
230.978256 215.217392 0.007833 
220.652176 223.913040 0.010408 
222.826080 225.543472 0.005870 
225.543472 240.760864 0.001386 
227.717392 192.934784 0.007648 
220.108688 224.456512 0.011600 
222.282608 229.347824 0.007971 
213.586960 238.586960 0.004964 
216.304352 214.673904 0.009189 
236.956512 190.760864 0.009133 
216.304352 235.326080 0.007183 
211.413040 239.130432 0.005644 


