left: Array<T>::toString():
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 

, right: Array<T>::toString():
216.304352 221.739136 0.035745 
218.478256 215.217392 0.020671 
215.217392 203.804352 0.009441 
230.978256 198.369568 0.007962 
170.652176 226.630432 0.007045 
227.717392 219.021744 0.009000 
222.826080 221.195648 0.009083 
227.173904 219.021744 0.006655 
220.652176 232.065216 0.003130 
226.630432 217.934784 0.008208 
220.652176 223.913040 0.010680 
222.826080 225.000000 0.006039 
224.456512 240.217392 0.001651 
221.195648 218.478256 0.007905 
220.652176 224.456512 0.011729 
221.739136 228.804352 0.008130 
216.304352 237.500000 0.004858 
218.478256 214.673904 0.009262 
236.413040 191.847824 0.008939 
219.565216 228.260864 0.007197 
213.586960 238.586960 0.005474 


