left: Array<T>::toString():
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 

, right: Array<T>::toString():
193.478256 175.543472 0.076395 
216.304352 216.847824 0.023252 
207.065216 210.869568 0.011039 
174.456528 220.652176 0.017292 
170.108688 225.000000 0.009557 
221.739136 204.891296 0.009631 
227.717392 206.521744 0.009368 
224.456512 207.608688 0.007421 
223.369568 210.869568 0.004625 
228.804352 192.391296 0.009402 
220.108688 223.913040 0.010780 
222.826080 221.739136 0.006152 
222.826080 214.673904 0.002752 
219.565216 163.043472 0.013203 
219.565216 225.000000 0.011960 
209.239136 239.673904 0.008090 
211.956512 244.565216 0.005609 
218.478256 164.673904 0.022303 
237.500000 189.673904 0.009482 
209.782608 240.760864 0.007204 
203.804352 243.478256 0.006216 


