left: Array<T>::toString():
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 

, right: Array<T>::toString():
216.847824 220.108688 0.038990 
219.021744 210.326080 0.022488 
210.326080 205.978256 0.011604 
177.173904 227.173904 0.009524 
172.826080 226.630432 0.007793 
223.913040 190.217392 0.009763 
225.543472 219.565216 0.008772 
227.717392 220.108688 0.006721 
240.760864 184.782608 0.003009 
225.000000 193.478256 0.008672 
221.195648 223.369568 0.010577 
224.456512 223.913040 0.006025 
225.543472 240.760864 0.001555 
224.456512 193.478256 0.008944 
220.652176 223.913040 0.011783 
216.304352 235.326080 0.008107 
213.586960 240.217392 0.005208 
216.304352 193.478256 0.012924 
236.956512 189.673904 0.009219 
215.760864 235.869568 0.007343 
211.413040 239.673904 0.005691 


