left: Array<T>::toString():
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 

, right: Array<T>::toString():
226.630432 209.239136 0.029404 
220.108688 225.000000 0.019229 
230.434784 225.000000 0.009879 
227.173904 217.934784 0.008940 
168.478256 225.000000 0.004869 
220.652176 214.130432 0.012182 
223.369568 217.934784 0.008593 
227.173904 221.739136 0.006945 
217.391296 233.152176 0.003276 
217.391296 214.673904 0.008466 
221.739136 219.021744 0.007588 
226.630432 221.739136 0.005726 
218.478256 232.608688 0.001672 
216.304352 215.217392 0.008335 
221.739136 219.565216 0.009632 
225.000000 223.369568 0.007455 
219.565216 230.978256 0.003661 
210.326080 202.717392 0.011018 
208.152176 215.760864 0.009908 
222.282608 217.391296 0.006882 
220.108688 223.913040 0.003844 


