left: Array<T>::toString():
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 

, right: Array<T>::toString():
215.760864 221.195648 0.043857 
219.565216 210.869568 0.023380 
210.869568 206.521744 0.011705 
176.086960 219.565216 0.009528 
172.826080 226.086960 0.007933 
223.913040 190.217392 0.009577 
226.630432 217.934784 0.008803 
228.260864 211.956512 0.006804 
225.000000 211.413040 0.003058 
225.543472 192.934784 0.008667 
220.652176 223.913040 0.010908 
223.913040 223.913040 0.006018 
226.630432 241.304352 0.001698 
224.456512 192.934784 0.009112 
220.108688 224.456512 0.011894 
216.304352 235.869568 0.008066 
214.673904 241.304352 0.005257 
216.847824 194.021744 0.012577 
236.956512 188.043472 0.009480 
216.304352 236.413040 0.007281 
210.869568 241.304352 0.005769 


