left: Array<T>::toString():
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 

, right: Array<T>::toString():
145.652176 140.217392 0.255192 
179.347824 211.413040 0.028762 
188.586960 211.413040 0.023635 
197.826080 223.913040 0.011726 
208.695648 232.608688 0.005872 
211.413040 218.478256 0.013757 
210.869568 219.021744 0.009255 
210.869568 227.173904 0.007234 
211.956512 232.608688 0.004178 
206.521744 219.021744 0.010349 
214.673904 222.826080 0.007015 
210.326080 227.717392 0.005786 
208.695648 243.478256 0.002421 
206.521744 219.021744 0.009834 
215.217392 222.826080 0.008849 
208.695648 229.347824 0.007356 
184.239136 239.130432 0.003964 
158.695648 201.086960 0.012610 
209.239136 215.760864 0.009175 
211.956512 219.021744 0.007147 
183.152176 238.043472 0.004833 


