left: Array<T>::toString():
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 

, right: Array<T>::toString():
188.586960 193.478256 0.181250 
193.478256 223.369568 0.035569 
186.413040 232.065216 0.016272 
172.282608 222.826080 0.011918 
154.891296 225.543472 0.005799 
227.717392 213.043472 0.012653 
224.456512 208.152176 0.008642 
220.652176 212.500000 0.007298 
217.934784 215.217392 0.004850 
221.195648 211.956512 0.009429 
217.934784 230.978256 0.008494 
218.478256 234.239120 0.006055 
182.608688 246.739120 0.003416 
219.565216 211.956512 0.011181 
217.391296 231.521744 0.011219 
214.130432 238.043472 0.009183 
211.413040 244.021744 0.007151 
211.956512 217.934784 0.021276 
210.326080 238.043472 0.009074 
211.413040 244.565216 0.008197 
209.782608 244.565216 0.007482 


