left: Array<T>::toString():
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 

, right: Array<T>::toString():
227.717392 202.717392 0.029146 
220.108688 225.543472 0.018947 
226.630432 220.108688 0.010453 
226.630432 217.391296 0.009728 
202.173904 229.891296 0.005821 
220.652176 213.586960 0.013339 
223.369568 215.760864 0.008830 
226.086960 219.565216 0.007149 
216.847824 233.152176 0.003581 
216.304352 214.130432 0.008923 
222.826080 217.934784 0.007278 
226.086960 220.108688 0.005816 
219.021744 236.956512 0.002003 
215.760864 213.586960 0.008798 
222.282608 217.934784 0.009224 
225.000000 222.282608 0.007493 
219.565216 235.869568 0.003826 
210.326080 198.369568 0.014806 
207.065216 215.760864 0.009863 
220.652176 215.760864 0.006891 
219.021744 234.782608 0.003771 


