left: Array<T>::toString():
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 

, right: Array<T>::toString():
127.173912 129.347824 0.272667 
219.565216 216.847824 0.025125 
176.086960 226.630432 0.016484 
173.369568 217.391296 0.024160 
170.108688 223.913040 0.009936 
224.456512 210.326080 0.007867 
227.717392 213.043472 0.008470 
225.000000 215.217392 0.006830 
223.913040 216.304352 0.004243 
228.260864 191.847824 0.008329 
219.565216 225.543472 0.009063 
223.913040 221.739136 0.005585 
223.913040 216.304352 0.002404 
226.630432 194.021744 0.008890 
219.021744 226.630432 0.010639 
209.782608 238.043472 0.007491 
209.239136 245.108688 0.005141 
223.913040 178.804352 0.009776 
200.000000 236.956512 0.009830 
202.717392 245.108688 0.007718 
202.173904 245.108688 0.006324 


