left: Array<T>::toString():
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 

, right: Array<T>::toString():
214.673904 223.369568 0.061729 
218.478256 217.391296 0.025216 
176.630432 226.086960 0.011577 
174.456528 219.565216 0.020604 
169.565216 224.456512 0.010562 
223.913040 176.630432 0.010755 
228.804352 206.521744 0.009286 
225.000000 208.152176 0.007235 
223.369568 214.130432 0.004696 
226.086960 192.934784 0.009637 
220.108688 224.456512 0.010236 
223.913040 221.195648 0.006027 
223.369568 215.217392 0.002854 
219.565216 163.586960 0.012554 
219.021744 225.543472 0.011585 
210.869568 238.043472 0.007775 
213.043472 245.652176 0.005326 
217.934784 165.217392 0.022775 
238.043472 189.673904 0.009785 
240.217392 192.934784 0.007156 
203.804352 244.565216 0.006027 


