left: Array<T>::toString():
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 

, right: Array<T>::toString():
215.217392 221.195648 0.048950 
216.847824 216.847824 0.022657 
180.978256 231.521744 0.009424 
173.369568 223.913040 0.012398 
171.739136 226.630432 0.008583 
220.108688 200.543472 0.008542 
227.717392 207.065216 0.009052 
221.195648 215.217392 0.007068 
221.195648 215.760864 0.004212 
221.195648 215.217392 0.008603 
220.108688 223.369568 0.009939 
222.282608 222.282608 0.005834 
221.739136 215.760864 0.002412 
224.456512 198.369568 0.008964 
219.565216 225.000000 0.011118 
210.869568 239.130432 0.007589 
214.130432 244.021744 0.005072 
215.760864 215.217392 0.010565 
236.956512 190.760864 0.009472 
218.478256 237.500000 0.006829 
204.347824 242.391296 0.005730 


