left: Array<T>::toString():
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 

, right: Array<T>::toString():
215.217392 222.826080 0.055775 
219.021744 215.217392 0.024150 
179.347824 226.086960 0.011089 
174.456528 216.847824 0.019241 
169.565216 225.000000 0.010313 
223.913040 188.586960 0.009065 
227.717392 214.130432 0.008725 
226.630432 214.130432 0.006789 
223.913040 213.586960 0.003718 
226.086960 192.934784 0.008735 
220.108688 224.456512 0.010542 
223.913040 222.282608 0.005872 
223.913040 215.217392 0.002121 
225.000000 194.021744 0.009492 
219.565216 225.543472 0.011703 
211.413040 237.500000 0.007703 
209.239136 243.478256 0.004989 
220.108688 172.282608 0.011751 
237.500000 189.673904 0.009742 
233.695648 213.586960 0.006976 
206.521744 243.478256 0.005765 


