left: Array<T>::toString():
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 

, right: Array<T>::toString():
182.608688 167.934784 0.114257 
217.934784 227.717392 0.021000 
209.782608 205.434784 0.017328 
215.217392 209.782608 0.010252 
187.500000 228.804352 0.007831 
226.086960 208.152176 0.015447 
228.804352 208.695648 0.010059 
227.717392 210.326080 0.007797 
218.478256 239.673904 0.003874 
225.543472 205.434784 0.010017 
228.804352 211.413040 0.008797 
228.804352 211.413040 0.006158 
220.108688 240.760864 0.002672 
224.456512 202.173904 0.010313 
228.804352 214.673904 0.010084 
216.304352 234.782608 0.007138 
216.304352 239.673904 0.004632 
215.760864 199.456512 0.019080 
220.652176 187.500000 0.008718 
233.695648 190.760864 0.007303 
213.043472 238.586960 0.005083 


