left: Array<T>::toString():
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 

, right: Array<T>::toString():
166.304352 119.021736 0.299225 
158.695648 136.413040 0.585493 
148.913040 155.434784 0.742719 
127.717392 172.282608 0.746797 
106.521736 188.586960 0.518858 
140.217392 122.826088 0.047279 
228.260864 209.239136 0.009534 
107.608696 184.782608 0.025859 
101.086960 190.217392 0.061904 
224.456512 211.413040 0.009644 
220.108688 224.456512 0.009777 
223.369568 220.652176 0.005956 
105.978264 188.043472 0.004814 
223.913040 208.152176 0.011459 
219.565216 225.543472 0.011098 
219.565216 229.891296 0.007396 
140.760864 141.304352 0.004571 
220.652176 169.565216 0.014697 
215.760864 220.108688 0.009128 
219.565216 220.652176 0.007073 
123.913040 167.391296 0.005218 


