left: Array<T>::toString():
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 

, right: Array<T>::toString():
216.304352 222.282608 0.049333 
218.478256 215.217392 0.023581 
210.326080 207.065216 0.012024 
178.260864 215.760864 0.018774 
171.195648 224.456512 0.009991 
223.913040 192.391296 0.008100 
222.826080 222.826080 0.008323 
228.260864 210.869568 0.006544 
224.456512 210.869568 0.002969 
230.978256 214.673904 0.007828 
220.652176 224.456512 0.010375 
221.195648 225.543472 0.005689 
227.173904 240.760864 0.001477 
225.000000 193.478256 0.007885 
219.565216 225.000000 0.011602 
213.043472 236.413040 0.007755 
210.326080 241.304352 0.005062 
215.760864 197.282608 0.010066 
208.695648 234.239120 0.008745 
213.043472 237.500000 0.007105 
210.326080 240.760864 0.005951 


