left: Array<T>::toString():
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 

, right: Array<T>::toString():
226.630432 208.695648 0.029343 
219.565216 226.086960 0.019718 
203.804352 219.565216 0.010332 
202.173904 221.739136 0.009574 
204.891296 233.695648 0.005613 
221.195648 214.673904 0.012480 
223.369568 219.021744 0.008610 
226.630432 222.826080 0.007027 
216.304352 233.695648 0.003588 
216.304352 215.760864 0.008699 
220.652176 219.565216 0.007425 
226.086960 222.826080 0.005719 
216.847824 242.934784 0.002071 
215.217392 215.760864 0.008573 
220.652176 219.565216 0.009417 
223.369568 225.543472 0.007402 
219.021744 236.413040 0.003990 
209.782608 203.260864 0.011246 
207.608688 215.760864 0.009737 
216.847824 216.304352 0.006889 
215.760864 245.108688 0.004011 


