left: Array<T>::toString():
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 

, right: Array<T>::toString():
215.760864 221.739136 0.044194 
217.391296 215.217392 0.022243 
210.869568 206.521744 0.010460 
173.913040 223.369568 0.012257 
171.195648 226.086960 0.009483 
220.108688 198.369568 0.008111 
226.630432 215.760864 0.009034 
227.717392 210.869568 0.006782 
224.456512 209.239136 0.003247 
230.978256 214.130432 0.008238 
220.652176 223.369568 0.011396 
222.826080 223.913040 0.006040 
225.000000 211.956512 0.001723 
224.456512 193.478256 0.008588 
220.108688 223.913040 0.012351 
220.652176 229.347824 0.007987 
210.869568 240.217392 0.005092 
215.760864 210.869568 0.010411 
215.217392 216.847824 0.008860 
215.217392 235.869568 0.007256 
210.326080 240.217392 0.005947 


