left: Array<T>::toString():
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 

, right: Array<T>::toString():
176.086960 186.956512 0.189101 
179.347824 172.826080 0.181464 
179.891296 158.152176 0.277272 
176.086960 144.021744 0.293529 
166.847824 136.956528 0.292102 
171.195648 144.565216 0.230595 
179.347824 123.369568 0.268176 
179.891296 110.326088 0.350386 
178.804352 101.086960 0.153086 
164.130432 148.369568 0.279895 
162.500000 123.369568 0.424755 
158.695648 108.152176 0.378128 
140.760864 101.086960 0.090382 
158.695648 149.456528 0.182338 
151.086960 133.152176 0.241876 
145.108688 115.217392 0.244878 
140.217392 100.000000 0.275283 
153.260864 155.434784 0.157226 
150.543472 151.630432 0.146033 
152.173920 153.260864 0.127497 
159.239136 155.434784 0.087818 


