left: Array<T>::toString():
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 

, right: Array<T>::toString():
214.673904 223.369568 0.065878 
219.021744 216.304352 0.027408 
179.891296 229.891296 0.010583 
174.456528 221.195648 0.017552 
170.652176 225.000000 0.010021 
225.543472 182.608688 0.011262 
227.717392 211.413040 0.009267 
223.913040 214.673904 0.007370 
223.369568 215.760864 0.004983 
228.260864 190.760864 0.009399 
219.565216 225.543472 0.010159 
223.913040 221.195648 0.006028 
223.913040 215.760864 0.002993 
226.086960 192.391296 0.010435 
219.021744 226.086960 0.011483 
211.956512 238.043472 0.007660 
214.673904 245.652176 0.005279 
219.565216 170.652176 0.015751 
238.586960 188.586960 0.010260 
240.760864 192.391296 0.007162 
209.782608 244.565216 0.005886 


