left: Array<T>::toString():
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 

, right: Array<T>::toString():
215.760864 221.739136 0.045826 
218.478256 219.565216 0.021950 
153.804352 175.543472 0.563349 
166.847824 152.173920 0.691821 
179.347824 133.152176 0.500639 
153.804352 175.000000 0.013913 
158.695648 171.739136 0.013827 
150.000000 172.826080 0.026365 
146.739136 171.195648 0.018004 
230.978256 213.043472 0.008879 
221.195648 223.369568 0.010337 
222.826080 223.369568 0.006030 
145.108688 167.391296 0.016229 
224.456512 211.413040 0.008908 
220.652176 224.456512 0.011154 
220.652176 230.434784 0.007580 
219.565216 239.130432 0.004793 
220.108688 216.304352 0.009527 
237.500000 192.391296 0.008476 
220.108688 223.913040 0.006976 
216.304352 240.760864 0.005334 


