left: Array<T>::toString():
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 

, right: Array<T>::toString():
214.673904 222.826080 0.064231 
219.021744 216.304352 0.025184 
175.543472 222.282608 0.011225 
173.913040 217.934784 0.021886 
170.652176 224.456512 0.010868 
227.717392 176.086960 0.009898 
227.173904 209.782608 0.008870 
224.456512 212.500000 0.007188 
222.826080 215.760864 0.004674 
228.260864 191.304352 0.009060 
220.108688 223.913040 0.009618 
223.913040 220.652176 0.005763 
223.369568 215.760864 0.002640 
226.630432 192.934784 0.010031 
219.021744 225.543472 0.010906 
208.695648 238.043472 0.007204 
210.326080 245.108688 0.004779 
220.108688 170.652176 0.015086 
238.043472 189.673904 0.009982 
235.869568 211.413040 0.006951 
202.173904 244.021744 0.005709 


